ео 0,001 0,0005312247418533796
еп 0,001 0,0011749598693920433
ер 0,005 0,008767739718234224
ес 0,007 0,006935947547532403
ет 0,006 0,007971489387756502
еу 0,001 0,00013485871862977468
ех 0,002 0,0008588275905491604
еш 0,001 0,0010467834806366563
ещ 0,001 0,0008165527571606334
жа 0,001 0,0012790962571279953
же 0,009 0,004388970166069561
жи 0,001 0,0019482449623281423
жс 0,001 3,967708668654719E-05
за 0,011 0,006436262053207327
зб 0,001 0,00021170189750986074
зд 0,001 0,0011595107468443692
зм 0,001 0,0006896776515398189
зн 0,004 0,0022237314214842963
зо 0,001 0,0011203975495161366
зр 0,001 0,0005046279604528682
зу 0,001 0,0006338694735517384
зы 0,001 0,0007105849339019497
ив 0,006 0,003230987222016523
ие 0,002 0,0038807010226234724
из 0,005 0,0036023396916533466
ии 0,002 0,0021965370137553147
ий 0,004 0,0023432759654470193
ик 0,006 0,0034651097459783508
ил 0,009 0,005627418193727245
им 0,005 0,004216316401731204
ин 0,008 0,0057466012701525866
ио 0,002 0,0009099656079542753
ип 0,001 0,00042576538293061223
ир 0,001 0,0020991938059385473
ис 0,004 0,004488501457379276
ит 0,004 0,0062962054313900105
их 0,001 0,0027519897197475674
иц 0,001 0,0011908644410368178
ич 0,002 0,0025563369808974334
ищ 0,001 0,0002463738636954691
ия 0,003 0,0034875207332959873
йч 0,001 0,000219569840906859
ка 0,009 0,00904456601706227
ке 0,002 0,0009824278002813008
ки 0,005 0,0049670579692526265
кл 0,003 0,0010755828042316108
ко 0,011 0,012332725354574593
кр 0,001 0,0022726066521054048
кс 0,001 0,0006495547548905016
кт 0,006 0,001748037732507005
ку 0,003 0,002490682427191088
ла 0,007 0,007133504015412745
ле 0,012 0,007048672403956533
лж 0,001 0,00038158682051187736
ли 0,011 0,009317433041464202
лк 0,002 0,0004809036410827462
ло 0,003 0,007019518842174945
лс 0,001 0,001237773288254572
лу 0,001 0,0017574985428520633
лы 0,002 0,0007698704295996377
ль 0,011 0,006794746278513379
лю 0,002 0,0014431181766736882
ля 0,003 0,002587507531537609
ма 0,004 0,004254610272641372
ме 0,003 0,005653817372873988
ми 0,004 0,004614065640731187
мк 0,002 0,00017626843971216928
мн 0,003 0,0016999505011173878
мо 0,006 0,005114433103810123
му 0,001 0,0025331861900199566
мы 0,003 0,0017451267139392949
на 0,011 0,014286695962694853
не 0,008 0,011580036681918477
ни 0,01 0,012429589015458434
нк 0,001 0,0009024085266394249
нн 0,002 0,004571954672626274
но 0,008 0,015509692458021281
нс 0,001 0,0012557719618325753
нт 0,001 0,0019442543607154535
ну 0,002 0,002787948510366253
ны 0,007 0,006540290000682065
нь 0,002 0,0012943983828771343
об 0,008 0,005353112528526536
ов 0,008 0,01181260971503673
ог 0,007 0,0066830817268655664
од 0,007 0,007448424173113609
ое 0,002 0,002796657468233558
ож 0,004 0,0026073858363099946
оз 0,004 0,0020253194804321526
ои 0,002 0,0012428458826958223
ой 0,003 0,0058603406454649665
ок 0,003 0,002926101403153362
ол 0,012 0,008133364190130152
ом 0,007 0,007733140103390897
он 0,011 0,007091070136307769
оп 0,002 0,002223102467969253
ор 0,009 0,00822947599853624
ос 0,011 0,009557314948188303
от 0,009 0,008459791064437651
оф 0,001 0,00037597443454813804
ох 0,001 0,0007020567098033351
оц 0,001 0,00043105485789429103
оч 0,003 0,002366896664123092
ош 0,004 0,0010451520571512756
ощ 0,002 0,0003473028294830582
ою 0,001 0,0002871449921284901
па 0,003 0,00231679485365847
пе 0,006 0,0033767285233050554
пи 0,001 0,0015787335673483809
пл 0,001 0,0012921645134961182
по 0,018 0,012561553584005576
пр 0,011 0,010071112135172743
пы 0,001 0,0004228664132808147
пя 0,001 0,00030115306409380434
ра 0,009 0,012164638130125152
ре 0,007 0,009614395491907965
ри 0,007 0,006796382521565924
рн 0,001 0,0013753261449296283
ро 0,016 0,01136058251062358
рс 0,002 0,000757684154022725
ру 0,005 0,0038161429204471835
рч 0,001 0,00014027350233974562
ры 0,001 0,001996809330867103
ря 0,001 0,001263810999863934
са 0,002 0,0024186202589387643
св 0,001 0,0018164996840870115
се 0,005 0,004553300537913819
си 0,001 0,0027717451255572434
ск 0,008 0,006233695645258882
сл 0,004 0,003622258962746635
см 0,002 0,0010198204121315987
сн 0,001 0,001483648326748455
со 0,007 0,0046149331628209025
сп 0,001 0,00260263133330164
ср 0,001 0,000613333297861319
сс 0,002 0,0019085028114848666
ст 0,015 0,01728708135456364
су 0,002 0,00145263923160831
сч 0,001 0,00044200250470977743
сш 0,001 0,00016563888432957836
сы 0,002 0,0005156816377459864
сь 0,001 0,002959286532868542
ся 0,003 0,004823591503666014
та 0,009 0,008762033350710765
тв 0,001 0,00413973106969445
те 0,006 0,007924578130755165
ти 0,008 0,0064777175601777905
тк 0,003 0,0009676895638904765
тл 0,001 0,00031664315296238166
тм 0,001 0,0001402253066680948
то 0,021 0,01618938396639505
тп 0,001 0,00011072473605062073
тр 0,005 0,00486105881880737
тс 0,004 0,0025115318747472378
ту 0,002 0,002122838602450445
ты 0,001 0,002063969999312537
ть 0,011 0,007317124704835248
уб 0,001 0,0009064208163043567
уд 0,002 0,002431437897814303
уж 0,004 0,001688904053175017
ук 0,001 0,0011058328175432553
ул 0,002 0,0015990841897029447
ум 0,001 0,0011916066543802405
ун 0,001 0,0005779552650860259
уп 0,001 0,0010913692964808408
ур 0,003 0,001371337953100522
ус 0,002 0,0019190311559569909
ут 0,002 0,0019896836008135273
уч 0,001 0,001531995814764987
уш 0,001 0,0007585540858960225
фи 0,001 0,0007420157411690396
фо 0,001 0,000688200454203721
ха 0,001 0,0008118536791746773
хв 0,001 0,0001982962714401819
хо 0,003 0,0027458544107464163
це 0,001 0,0014989600916319244
ци 0,002 0,0022999793838194946
цу 0,002 0,0001747623249730808
ча 0,001 0,0027104498703517154
че 0,005 0,005466777200547858
чи 0,005 0,002523889244958511
чк 0,001 0,0005495945221030941
чн 0,001 0,0014550538347580166
чт 0,005 0,0032064194783925117
чу 0,001 0,0005992649813064412
чь 0,001 0,0002570853517198664
ша 0,002 0,0010557141385935554
ше 0,002 0,0025163924082332242
ши 0,004 0,0019017746957224104
шл 0,002 0,0005951442513802951
шь 0,002 0,0005771262995336317
ща 0,001 0,000539418006034021
ыв 0,003 0,0013320367926528513
ые 0,002 0,0021177901058450207
ый 0,002 0,0021052158551113187
ык 0,001 0,0002954876628912491
ыс 0,001 0,0008831977319194034
ыт 0,002 0,0008756767973582911
ых 0,003 0,0024186684546104154
ыч 0,001 0,00021976503337704488
ьз 0,001 0,0002812458419184283
ьк 0,003 0,001252256087585647
ьн 0,002 0,002856728553379155
ьш 0,001 0,0006848773626433961
ью 0,002 0,0005743863756002819
эт 0,005 0,002748411191127493
юб 0,002 0,0004390119632838433
юд 0,001 0,000497147992212659
ют 0,001 0,0011322801923616492
юч 0,001 0,00024824626553910387
юю 0,001 3,885294070131797E-05
яе 0,001 0,00042534367080366745
яж 0,001 0,0001861557817513374
яи 0,001 3,415386271536188E-05
ян 0,002 0,0007859268176101124
ят 0,001 0,0019909439176271967
яш 0,001 3,3235735170413535E-05
